Date;Price;Open;High;Low;Vol.;Change %
24/03/2026;100,1;100,1;100,1;100,1;;-0,64%
23/03/2026;100,74;100,74;100,74;100,74;;0,22%
20/03/2026;100,52;100,52;100,52;100,52;;-1,83%
19/03/2026;102,39;102,39;102,39;102,39;;2,96%
18/03/2026;99,45;99,45;99,45;99,45;;-0,92%
17/03/2026;100,37;100,37;100,37;100,37;;0,20%
16/03/2026;100,17;100,17;100,17;100,17;;1,10%
13/03/2026;99,08;99,08;99,08;99,08;;0,28%
12/03/2026;98,8;98,8;98,8;98,8;;2,25%
11/03/2026;96,63;96,63;96,63;96,63;;2,33%
10/03/2026;94,43;94,43;94,43;94,43;;-1,05%
09/03/2026;95,43;95,43;95,43;95,43;;0,90%
06/03/2026;94,58;94,58;94,58;94,58;;0,84%
05/03/2026;93,79;93,79;93,79;93,79;;-1,53%
04/03/2026;95,25;95,25;95,25;95,25;;-5,29%
03/03/2026;100,57;100,57;100,57;100,57;;11,45%
02/03/2026;90,24;90,24;90,24;90,24;;-6,56%
27/02/2026;96,58;96,58;96,58;96,58;;-0,41%
26/02/2026;96,98;96,98;96,98;96,98;;-0,79%
25/02/2026;97,75;97,75;97,75;97,75;;0,10%
24/02/2026;97,65;97,65;97,65;97,65;;0,59%
23/02/2026;97,08;97,08;97,08;97,08;;0,61%
20/02/2026;96,49;96,49;96,49;96,49;;-0,26%
19/02/2026;96,74;96,74;96,74;96,74;;0,48%
18/02/2026;96,28;96,28;96,28;96,28;;0,36%
17/02/2026;95,93;95,93;95,93;95,93;;-5,23%
13/02/2026;101,22;101,22;101,22;101,22;;-2,83%
12/02/2026;104,17;104,17;104,17;104,17;;1,78%
11/02/2026;102,35;102,35;102,35;102,35;;-1,40%
10/02/2026;103,8;103,8;103,8;103,8;;-0,13%
09/02/2026;103,94;103,94;103,94;103,94;;-3,89%
06/02/2026;108,15;108,15;108,15;108,15;;1,08%
05/02/2026;106,99;106,99;106,99;106,99;;-0,83%
04/02/2026;107,89;107,89;107,89;107,89;;0,84%
03/02/2026;106,99;106,99;106,99;106,99;;-3,26%
02/02/2026;110,6;110,6;110,6;110,6;;0,46%
30/01/2026;110,09;110,09;110,09;110,09;;0,17%
29/01/2026;109,9;109,9;109,9;109,9;;0,05%
28/01/2026;109,84;109,84;109,84;109,84;;-0,19%
27/01/2026;110,05;110,05;110,05;110,05;;-0,27%
26/01/2026;110,35;110,35;110,35;110,35;;-0,69%
23/01/2026;111,12;111,12;111,12;111,12;;-0,24%
22/01/2026;111,39;111,39;111,39;111,39;;-1,18%
21/01/2026;112,72;112,72;112,72;112,72;;-0,05%
20/01/2026;112,78;112,78;112,78;112,78;;-3,55%
16/01/2026;116,93;116,93;116,93;116,93;;1,49%
15/01/2026;115,21;115,21;115,21;115,21;;-0,41%
14/01/2026;115,69;115,69;115,69;115,69;;0,16%
13/01/2026;115,51;115,51;115,51;115,51;;5,38%
12/01/2026;109,61;109,61;109,61;109,61;;8,73%
09/01/2026;100,81;100,81;100,81;100,81;;0,94%
08/01/2026;99,87;99,87;99,87;99,87;;-2,38%
07/01/2026;102,3;102,3;102,3;102,3;;4,21%
06/01/2026;98,17;98,17;98,17;98,17;;5,01%
05/01/2026;93,49;93,49;93,49;93,49;;-8,12%
02/01/2026;101,75;101,75;101,75;101,75;;4,09%
31/12/2025;97,75;97,75;97,75;97,75;;4,58%
30/12/2025;93,47;93,47;93,47;93,47;;0,13%
29/12/2025;93,35;93,35;93,35;93,35;;0,32%
26/12/2025;93,05;93,05;93,05;93,05;;0,00%
24/12/2025;93,05;93,05;93,05;93,05;;0,12%
23/12/2025;92,94;92,94;92,94;92,94;;1,02%
22/12/2025;92;92;92;92;;-0,92%
19/12/2025;92,85;92,85;92,85;92,85;;0,18%
18/12/2025;92,68;92,68;92,68;92,68;;-2,14%
17/12/2025;94,71;94,71;94,71;94,71;;-0,51%
16/12/2025;95,2;95,2;95,2;95,2;;-0,14%
15/12/2025;95,33;95,33;95,33;95,33;;-1,60%
12/12/2025;96,88;96,88;96,88;96,88;;-0,09%
11/12/2025;96,97;96,97;96,97;96,97;;3,29%
10/12/2025;93,88;93,88;93,88;93,88;;1,76%
09/12/2025;92,26;92,26;92,26;92,26;;1,02%
08/12/2025;91,33;91,33;91,33;91,33;;4,17%
05/12/2025;87,67;87,67;87,67;87,67;;-1,91%
04/12/2025;89,38;89,38;89,38;89,38;;-3,02%
03/12/2025;92,16;92,16;92,16;92,16;;-0,14%
02/12/2025;92,29;92,29;92,29;92,29;;-5,95%
01/12/2025;98,13;98,13;98,13;98,13;;-3,71%
28/11/2025;101,91;101,91;101,91;101,91;;-0,02%
26/11/2025;101,93;101,93;101,93;101,93;;-0,86%
25/11/2025;102,81;102,81;102,81;102,81;;-2,10%
24/11/2025;105,02;105,02;105,02;105,02;;4,60%
21/11/2025;100,4;100,4;100,4;100,4;;-0,21%
20/11/2025;100,61;100,61;100,61;100,61;;-0,11%
19/11/2025;100,72;100,72;100,72;100,72;;-0,82%
18/11/2025;101,55;101,55;101,55;101,55;;1,14%
17/11/2025;100,41;100,41;100,41;100,41;;3,31%
14/11/2025;97,19;97,19;97,19;97,19;;-0,79%
13/11/2025;97,96;97,96;97,96;97,96;;2,48%
12/11/2025;95,59;95,59;95,59;95,59;;1,10%
11/11/2025;94,55;94,55;94,55;94,55;;-3,38%
10/11/2025;97,86;97,86;97,86;97,86;;-5,13%
07/11/2025;103,15;103,15;103,15;103,15;;-0,27%
06/11/2025;103,43;103,43;103,43;103,43;;-3,67%
05/11/2025;107,37;107,37;107,37;107,37;;-6,12%
04/11/2025;114,37;114,37;114,37;114,37;;4,21%
03/11/2025;109,75;109,75;109,75;109,75;;10,15%
31/10/2025;99,64;99,64;99,64;99,64;;18,06%
30/10/2025;84,4;84,4;84,4;84,4;;-5,97%
29/10/2025;89,76;89,76;89,76;89,76;;-0,89%
28/10/2025;90,57;90,57;90,57;90,57;;6,12%
27/10/2025;85,35;85,35;85,35;85,35;;-1,00%
24/10/2025;86,21;86,21;86,21;86,21;;0,20%
23/10/2025;86,04;86,04;86,04;86,04;;-0,35%
22/10/2025;86,34;86,34;86,34;86,34;;-1,08%
21/10/2025;87,28;87,28;87,28;87,28;;-2,00%
20/10/2025;89,06;89,06;89,06;89,06;;-0,06%
17/10/2025;89,11;89,11;89,11;89,11;;-0,49%
16/10/2025;89,55;89,55;89,55;89,55;;-1,13%
15/10/2025;90,57;90,57;90,57;90,57;;-1,66%
14/10/2025;92,1;92,1;92,1;92,1;;1,44%
13/10/2025;90,79;90,79;90,79;90,79;;-3,34%
10/10/2025;93,93;93,93;93,93;93,93;;-0,70%
09/10/2025;94,59;94,59;94,59;94,59;;-1,21%
08/10/2025;95,75;95,75;95,75;95,75;;-0,57%
07/10/2025;96,3;96,3;96,3;96,3;;-0,69%
06/10/2025;96,97;96,97;96,97;96,97;;7,33%
03/10/2025;90,35;90,35;90,35;90,35;;8,52%
02/10/2025;83,26;83,26;83,26;83,26;;-1,91%
