hour,mae_lasso,mae_combined,improvement_pct,residual_std,top_5_features,train_rows
0,12.816,7.3,43.04,20.364,"ttf_gas,hydro_anomaly,price_roll_std_24h,eua_co2,residual_load_iberian_lag24h",1860
1,12.895,7.773,39.72,20.319,"ttf_gas,hydro_anomaly,price_roll_std_24h,net_flow_es_fr_lag24h,net_flow_es_pt_mwh",1872
2,12.585,7.751,38.41,18.859,"ttf_gas,hydro_anomaly,price_roll_std_24h,eua_co2,spark_spread",1872
3,11.827,8.485,28.26,17.192,"ttf_gas,price_roll_std_24h,eua_co2,spark_spread,hydro_anomaly",1872
4,11.712,7.04,39.89,16.869,"ttf_gas,eua_co2,price_roll_std_24h,spark_spread,residual_load_change_24h",1872
5,12.716,7.334,42.32,18.658,"ttf_gas,eua_co2,hydro_anomaly,price_roll_std_24h,spark_spread",1872
6,12.654,7.422,41.34,20.383,"ttf_gas,hydro_anomaly,price_roll_std_24h,eua_co2,net_flow_es_fr_lag24h",1872
7,13.715,7.868,42.63,21.279,"ttf_gas,hydro_anomaly,price_roll_std_24h,spark_spread,res_share",1860
8,14.771,11.183,24.29,22.807,"ttf_gas,res_share,residual_load_iberian_mwh,hydro_anomaly,month",1860
9,14.228,7.658,46.18,21.282,"ttf_gas,hydro_anomaly,price_roll_std_24h,month,load_forecast_pt_mwh",1860
10,14.449,7.567,47.63,21.408,"ttf_gas,price_roll_std_24h,residual_load_change_24h,load_forecast_pt_mwh,residual_load_iberian_mwh",1860
11,13.579,7.409,45.44,19.734,"ttf_gas,price_roll_std_24h,residual_load_change_24h,net_flow_es_pt_mwh,solar_forecast_pt_mwh",1860
12,13.1,7.182,45.17,19.307,"ttf_gas,residual_load_change_24h,price_roll_std_24h,residual_load_iberian_mwh,net_flow_es_pt_mwh",1860
13,11.92,6.608,44.56,16.751,"ttf_gas,price_roll_std_24h,residual_load_change_24h,residual_load_iberian_mwh,net_flow_es_pt_mwh",1860
14,11.176,7.211,35.48,15.707,"ttf_gas,price_roll_std_24h,solar_forecast_es_mwh,residual_load_change_24h,wind_offshore_forecast_pt_mwh",1860
15,10.439,6.61,36.68,14.797,"residual_load_change_24h,price_roll_std_24h,spark_spread,ttf_gas,solar_forecast_es_mwh",1860
16,11.088,7.011,36.77,15.586,"spark_spread,ttf_gas,solar_forecast_es_mwh,residual_load_change_24h,price_roll_std_24h",1860
17,12.076,6.883,43.0,17.52,"price_roll_std_24h,residual_load_change_24h,ttf_gas,spark_spread,net_flow_es_pt_mwh",1860
18,12.877,8.092,37.16,18.267,"price_roll_std_24h,ttf_gas,hydro_anomaly,spark_spread,price_roll_std_168h",1860
19,12.371,7.747,37.38,17.633,"hydro_anomaly,price_roll_std_24h,price_roll_std_168h,ttf_gas,solar_forecast_es_mwh",1860
20,10.553,6.947,34.17,15.204,"price_roll_std_24h,residual_load_change_24h,net_flow_es_pt_lag24h,net_flow_es_pt_mwh,solar_forecast_es_mwh",1860
21,9.564,6.821,28.68,13.465,"residual_load_change_24h,price_roll_std_24h,ttf_gas,hydro_anomaly,solar_forecast_es_mwh",1860
22,9.571,6.389,33.24,13.458,"hydro_anomaly,ttf_gas,residual_load_change_24h,month,solar_total",1860
23,9.523,9.154,3.87,13.391,"hydro_anomaly,prev_day_h19,ttf_gas,month,solar_forecast_es_mwh",1860
