hour,fold,mae,mae_lasso_only,rmse,mape,directional_accuracy,n_test,n_test_excluded_storm
0,0,2.89,8.135,4.07,13.836,88.31,155,0
0,1,6.918,9.465,11.517,4.436,75.97,155,0
0,2,16.455,18.122,22.38,8.18,75.32,155,0
0,3,23.473,50.492,31.362,15.259,70.78,155,0
0,4,10.942,16.601,16.769,45.213,79.22,155,0
0,5,6.287,8.202,9.372,7.784,75.97,155,0
0,6,5.14,8.915,7.989,14.167,81.82,155,0
0,7,6.475,9.144,8.619,38.874,80.52,155,0
0,8,5.195,8.265,7.313,6.947,81.17,155,0
0,9,6.002,9.264,8.365,18.198,83.77,155,0
0,10,7.078,9.397,9.471,8.941,79.87,155,0
0,11,7.852,7.556,10.559,23.688,83.82,137,18
1,0,3.769,7.827,4.996,12.336,87.74,156,0
1,1,7.054,9.91,11.19,4.944,80.0,156,0
1,2,16.863,18.941,22.908,20.605,78.71,156,0
1,3,21.277,46.048,29.36,15.052,69.68,156,0
1,4,10.67,15.942,15.518,49.507,81.29,156,0
1,5,6.708,8.666,9.332,9.053,77.42,156,0
1,6,6.336,9.294,9.068,30.715,80.65,156,0
1,7,6.14,8.773,8.52,32.355,80.0,156,0
1,8,6.167,9.33,8.577,13.141,80.65,156,0
1,9,6.853,10.083,9.785,24.797,83.87,156,0
1,10,6.433,9.174,8.616,11.281,78.06,156,0
1,11,7.345,7.418,9.896,24.019,83.21,138,18
2,0,3.696,9.2,5.118,20.595,83.23,156,0
2,1,8.044,10.439,11.838,6.173,80.65,156,0
2,2,16.096,18.747,22.23,21.765,80.0,156,0
2,3,24.363,47.483,32.258,18.104,69.68,156,0
2,4,10.089,14.701,14.984,52.741,78.71,156,0
2,5,6.74,8.57,9.43,10.052,82.58,156,0
2,6,6.469,8.799,8.986,28.761,86.45,156,0
2,7,6.575,8.841,8.871,50.979,77.42,156,0
2,8,6.605,9.493,8.799,14.892,80.65,156,0
2,9,7.501,10.055,10.158,34.219,83.23,156,0
2,10,6.46,10.003,8.448,11.463,78.71,156,0
2,11,6.439,6.889,8.88,23.142,83.94,138,18
3,0,5.899,10.614,7.754,21.456,80.0,156,0
3,1,9.192,10.222,13.264,7.21,83.87,156,0
3,2,16.623,18.152,23.493,31.16,82.58,156,0
3,3,19.374,37.631,24.863,14.736,71.61,156,0
3,4,9.58,11.914,13.534,40.633,77.42,156,0
3,5,7.397,8.775,10.161,11.473,77.42,156,0
3,6,6.808,7.894,8.764,29.878,85.16,156,0
3,7,7.228,9.211,9.373,72.278,81.29,156,0
3,8,7.526,10.362,10.056,17.283,84.52,156,0
3,9,7.722,9.86,10.078,41.664,85.16,156,0
3,10,6.79,9.354,9.055,13.435,81.94,156,0
3,11,6.983,7.379,8.875,32.593,81.02,138,18
4,0,4.039,9.027,5.867,27.181,82.58,156,0
4,1,7.013,9.393,10.853,5.928,87.1,156,0
4,2,14.324,16.878,21.31,28.811,83.23,156,0
4,3,16.844,35.39,22.144,12.856,76.13,156,0
4,4,7.449,10.981,10.552,32.949,79.35,156,0
4,5,6.241,9.192,8.977,8.893,79.35,156,0
4,6,5.51,7.332,7.391,20.86,85.81,156,0
4,7,5.654,9.03,7.666,41.392,82.58,156,0
4,8,6.265,10.42,8.948,23.969,84.52,156,0
4,9,6.335,9.476,8.758,34.865,85.81,156,0
4,10,6.866,10.781,9.401,14.81,85.81,156,0
4,11,6.78,7.258,8.826,38.825,83.21,138,18
5,0,7.093,14.713,11.373,27.871,80.0,156,0
5,1,7.353,12.01,11.993,8.404,86.45,156,0
5,2,14.949,16.197,23.039,42.166,76.77,156,0
5,3,18.965,41.383,24.817,14.234,76.77,156,0
