hour,mae_mean,mae_lasso_only_mean,rmse_mean,mape_mean,da_mean
0,9.243916666666665,13.47325,12.915000000000001,18.538083333333333,78.19083333333333
1,9.341166666666666,13.348083333333333,13.027416666666667,22.775833333333335,78.015
2,9.306416666666665,13.534,12.738083333333334,25.325333333333333,80.27583333333332
3,8.903166666666666,12.71925,12.05075,26.563833333333335,81.235
4,7.86925,12.232999999999999,11.031833333333333,23.066333333333333,83.49333333333333
5,8.802916666666667,13.03825,12.461583333333332,22.807083333333335,81.83
6,9.035916666666667,13.02075,12.756416666666667,22.55966666666667,82.52916666666667
7,9.195,14.480166666666667,13.263083333333332,18.511333333333333,83.26583333333333
8,10.252083333333333,14.5235,14.214416666666667,22.565583333333333,81.89
9,9.099,14.674416666666666,12.5815,27.890583333333336,83.7625
10,9.253916666666667,15.226666666666667,12.815333333333333,36.5865,83.23833333333333
11,9.243333333333334,14.998,12.997583333333333,45.709833333333336,84.02083333333333
12,8.58075,14.110166666666666,12.442833333333333,42.848833333333324,84.37333333333333
13,7.857333333333333,12.888833333333332,11.285166666666667,38.922916666666666,83.60833333333333
14,8.231416666666666,12.037416666666667,11.361083333333333,44.27433333333334,82.58833333333332
15,8.758000000000001,10.824833333333332,12.196333333333333,59.353,82.67083333333333
16,8.1455,11.413333333333334,11.666083333333333,55.21691666666666,83.60166666666667
17,8.792916666666667,12.656166666666666,12.317333333333332,48.8645,83.43583333333333
18,8.354,12.810666666666668,11.929166666666667,29.536666666666665,83.425
19,8.116083333333334,12.404583333333333,11.934416666666666,14.530083333333332,83.53333333333333
20,7.4004166666666675,10.468666666666666,10.932583333333334,8.500083333333334,82.80333333333333
21,7.300416666666667,9.801666666666668,10.451666666666666,7.7555000000000005,82.75
22,6.78475,9.237499999999999,9.664416666666666,9.121083333333333,81.42916666666666
23,8.750166666666667,9.370333333333333,11.745166666666668,17.78075,77.645
