datetime,hour,point_forecast,lower_80ci,upper_80ci,lag_data_quality
2026-08-22 00:00:00,0,153.371,140.996,167.584,100.0
2026-08-22 01:00:00,1,154.023,141.717,168.918,100.0
2026-08-22 02:00:00,2,146.046,133.978,160.688,100.0
2026-08-22 03:00:00,3,147.554,134.35,161.695,100.0
2026-08-22 04:00:00,4,149.305,137.864,161.072,100.0
2026-08-22 05:00:00,5,148.576,135.552,160.914,100.0
2026-08-22 06:00:00,6,150.012,137.325,163.331,100.0
2026-08-22 07:00:00,7,160.8,148.215,175.815,100.0
2026-08-22 08:00:00,8,159.995,144.421,179.225,100.0
2026-08-22 09:00:00,9,130.85,119.324,147.136,100.0
2026-08-22 10:00:00,10,103.464,90.681,119.529,100.0
2026-08-22 11:00:00,11,89.647,78.125,106.505,100.0
2026-08-22 12:00:00,12,85.31,74.059,100.775,100.0
2026-08-22 13:00:00,13,74.98,63.56,88.596,100.0
2026-08-22 14:00:00,14,70.692,58.976,83.193,100.0
2026-08-22 15:00:00,15,58.907,48.378,69.326,100.0
2026-08-22 16:00:00,16,46.717,35.953,59.343,100.0
2026-08-22 17:00:00,17,65.456,54.008,80.469,100.0
2026-08-22 18:00:00,18,95.154,82.13,109.081,100.0
2026-08-22 19:00:00,19,152.563,138.955,164.461,100.0
2026-08-22 20:00:00,20,182.609,169.853,192.716,100.0
2026-08-22 21:00:00,21,189.574,176.798,199.927,100.0
2026-08-22 22:00:00,22,167.332,156.294,177.422,100.0
2026-08-22 23:00:00,23,156.122,143.039,171.212,100.0
2026-08-23 00:00:00,0,138.349,125.974,152.562,100.0
2026-08-23 01:00:00,1,132.445,120.14,147.34,100.0
2026-08-23 02:00:00,2,126.522,114.455,141.165,100.0
2026-08-23 03:00:00,3,123.976,110.772,138.117,100.0
2026-08-23 04:00:00,4,121.554,110.113,133.32,100.0
2026-08-23 05:00:00,5,122.718,109.694,135.056,100.0
2026-08-23 06:00:00,6,128.42,115.734,141.74,100.0
2026-08-23 07:00:00,7,144.862,132.278,159.878,100.0
2026-08-23 08:00:00,8,149.402,133.829,168.632,100.0
2026-08-23 09:00:00,9,123.966,112.44,140.252,100.0
2026-08-23 10:00:00,10,103.194,90.411,119.259,100.0
2026-08-23 11:00:00,11,90.524,79.003,107.382,100.0
2026-08-23 12:00:00,12,84.972,73.721,100.437,100.0
2026-08-23 13:00:00,13,72.968,61.548,86.585,100.0
2026-08-23 14:00:00,14,69.311,57.595,81.812,100.0
2026-08-23 15:00:00,15,61.422,50.892,71.841,100.0
2026-08-23 16:00:00,16,57.116,46.352,69.743,100.0
2026-08-23 17:00:00,17,75.886,64.438,90.899,100.0
2026-08-23 18:00:00,18,95.026,82.002,108.953,100.0
2026-08-23 19:00:00,19,156.501,142.893,168.399,100.0
2026-08-23 20:00:00,20,190.933,178.177,201.04,100.0
2026-08-23 21:00:00,21,191.883,179.107,202.237,100.0
2026-08-23 22:00:00,22,166.145,155.107,176.235,100.0
2026-08-23 23:00:00,23,154.352,141.268,169.442,100.0
2026-08-24 00:00:00,0,138.527,126.152,152.74,100.0
2026-08-24 01:00:00,1,131.731,119.425,146.626,100.0
2026-08-24 02:00:00,2,124.813,112.746,139.456,100.0
2026-08-24 03:00:00,3,121.671,108.466,135.811,100.0
2026-08-24 04:00:00,4,118.882,107.441,130.649,100.0
2026-08-24 05:00:00,5,120.725,107.701,133.063,100.0
2026-08-24 06:00:00,6,125.357,112.671,138.677,100.0
2026-08-24 07:00:00,7,144.534,131.95,159.549,100.0
2026-08-24 08:00:00,8,150.563,134.99,169.793,100.0
2026-08-24 09:00:00,9,130.035,118.509,146.321,100.0
2026-08-24 10:00:00,10,107.122,94.338,123.186,100.0
2026-08-24 11:00:00,11,96.347,84.825,113.205,100.0
2026-08-24 12:00:00,12,88.129,76.878,103.594,100.0
2026-08-24 13:00:00,13,77.682,66.262,91.299,100.0
2026-08-24 14:00:00,14,73.791,62.074,86.291,100.0
2026-08-24 15:00:00,15,66.356,55.826,76.774,100.0
2026-08-24 16:00:00,16,61.053,50.289,73.68,100.0
2026-08-24 17:00:00,17,81.062,69.615,96.075,100.0
2026-08-24 18:00:00,18,100.888,87.865,114.816,100.0
2026-08-24 19:00:00,19,156.598,142.99,168.496,100.0
2026-08-24 20:00:00,20,193.108,180.352,203.215,100.0
2026-08-24 21:00:00,21,193.182,180.407,203.536,100.0
2026-08-24 22:00:00,22,163.781,152.743,173.872,100.0
2026-08-24 23:00:00,23,151.705,138.622,166.795,100.0
2026-08-25 00:00:00,0,137.194,124.819,151.406,100.0
2026-08-25 01:00:00,1,129.201,116.896,144.096,100.0
2026-08-25 02:00:00,2,122.023,109.956,136.666,100.0
2026-08-25 03:00:00,3,119.205,106.001,133.346,100.0
2026-08-25 04:00:00,4,116.001,104.56,127.768,100.0
2026-08-25 05:00:00,5,117.813,104.789,130.15,100.0
2026-08-25 06:00:00,6,122.766,110.079,136.085,100.0
2026-08-25 07:00:00,7,142.367,129.782,157.382,100.0
2026-08-25 08:00:00,8,148.53,132.957,167.76,100.0
2026-08-25 09:00:00,9,129.174,117.648,145.46,100.0
2026-08-25 10:00:00,10,107.304,94.52,123.368,100.0
2026-08-25 11:00:00,11,96.146,84.624,113.004,100.0
2026-08-25 12:00:00,12,90.756,79.505,106.221,100.0
2026-08-25 13:00:00,13,80.273,68.853,93.89,100.0
2026-08-25 14:00:00,14,75.549,63.832,88.05,100.0
2026-08-25 15:00:00,15,64.256,53.727,74.675,100.0
2026-08-25 16:00:00,16,59.415,48.652,72.042,100.0
2026-08-25 17:00:00,17,82.305,70.857,97.318,100.0
2026-08-25 18:00:00,18,99.315,86.292,113.242,100.0
2026-08-25 19:00:00,19,158.259,144.651,170.157,100.0
2026-08-25 20:00:00,20,195.381,182.624,205.488,100.0
2026-08-25 21:00:00,21,193.458,180.683,203.812,100.0
2026-08-25 22:00:00,22,163.115,152.077,173.206,100.0
2026-08-25 23:00:00,23,151.097,138.014,166.187,100.0
2026-08-26 00:00:00,0,137.041,124.666,151.254,100.0
2026-08-26 01:00:00,1,129.193,116.888,144.088,100.0
2026-08-26 02:00:00,2,121.474,109.407,136.117,100.0
2026-08-26 03:00:00,3,118.135,104.93,132.275,100.0
2026-08-26 04:00:00,4,115.094,103.653,126.861,100.0
2026-08-26 05:00:00,5,116.631,103.607,128.969,100.0
2026-08-26 06:00:00,6,121.914,109.228,135.234,100.0
2026-08-26 07:00:00,7,142.275,129.691,157.291,100.0
2026-08-26 08:00:00,8,147.703,132.13,166.933,100.0
2026-08-26 09:00:00,9,129.213,117.687,145.499,100.0
2026-08-26 10:00:00,10,106.215,93.432,122.279,100.0
2026-08-26 11:00:00,11,94.607,83.086,111.465,100.0
2026-08-26 12:00:00,12,88.127,76.876,103.592,100.0
2026-08-26 13:00:00,13,75.764,64.344,89.381,100.0
2026-08-26 14:00:00,14,72.854,61.137,85.354,100.0
