datetime,hour,point_forecast,lower_80ci,upper_80ci,lag_data_quality
2026-06-16 00:00:00,0,120.67,108.295,134.883,100.0
2026-06-16 01:00:00,1,116.086,103.781,130.981,100.0
2026-06-16 02:00:00,2,115.273,103.206,129.916,100.0
2026-06-16 03:00:00,3,109.069,95.865,123.21,100.0
2026-06-16 04:00:00,4,107.765,96.324,119.531,100.0
2026-06-16 05:00:00,5,115.367,102.343,127.705,100.0
2026-06-16 06:00:00,6,110.143,97.457,123.463,100.0
2026-06-16 07:00:00,7,120.79,108.206,135.806,100.0
2026-06-16 08:00:00,8,109.926,94.352,129.155,100.0
2026-06-16 09:00:00,9,83.12,71.594,99.406,100.0
2026-06-16 10:00:00,10,62.892,50.109,78.956,100.0
2026-06-16 11:00:00,11,49.259,37.737,66.117,100.0
2026-06-16 12:00:00,12,33.396,22.145,48.861,100.0
2026-06-16 13:00:00,13,21.858,10.438,35.475,100.0
2026-06-16 14:00:00,14,12.672,0.955,25.172,100.0
2026-06-16 15:00:00,15,5.554,-4.976,15.973,100.0
2026-06-16 16:00:00,16,-0.846,-5.0,11.781,100.0
2026-06-16 17:00:00,17,5.9,-5.0,20.913,100.0
2026-06-16 18:00:00,18,19.519,6.496,33.447,100.0
2026-06-16 19:00:00,19,51.735,38.126,63.633,100.0
2026-06-16 20:00:00,20,126.685,113.929,136.792,100.0
2026-06-16 21:00:00,21,135.431,122.656,145.785,100.0
2026-06-16 22:00:00,22,139.001,127.963,149.092,100.0
2026-06-16 23:00:00,23,124.542,111.458,139.632,100.0
2026-06-17 00:00:00,0,118.755,106.38,132.968,100.0
2026-06-17 01:00:00,1,110.695,98.39,125.59,100.0
2026-06-17 02:00:00,2,113.696,101.629,128.339,100.0
2026-06-17 03:00:00,3,106.201,92.996,120.341,100.0
2026-06-17 04:00:00,4,105.417,93.976,117.183,100.0
2026-06-17 05:00:00,5,112.178,99.154,124.516,100.0
2026-06-17 06:00:00,6,108.323,95.637,121.643,100.0
2026-06-17 07:00:00,7,118.335,105.751,133.35,100.0
2026-06-17 08:00:00,8,108.793,93.219,128.022,100.0
2026-06-17 09:00:00,9,88.115,76.589,104.402,100.0
2026-06-17 10:00:00,10,66.774,53.991,82.839,100.0
2026-06-17 11:00:00,11,54.48,42.959,71.338,100.0
2026-06-17 12:00:00,12,39.603,28.352,55.068,100.0
2026-06-17 13:00:00,13,28.102,16.682,41.719,100.0
2026-06-17 14:00:00,14,21.543,9.826,34.044,100.0
2026-06-17 15:00:00,15,10.079,-0.451,20.498,100.0
2026-06-17 16:00:00,16,2.498,-5.0,15.125,100.0
2026-06-17 17:00:00,17,-3.351,-5.0,11.661,100.0
2026-06-17 18:00:00,18,7.959,-5.0,21.887,100.0
2026-06-17 19:00:00,19,39.949,26.341,51.847,100.0
2026-06-17 20:00:00,20,125.312,112.556,135.419,100.0
2026-06-17 21:00:00,21,142.659,129.884,153.013,100.0
2026-06-17 22:00:00,22,147.897,136.859,157.987,100.0
2026-06-17 23:00:00,23,131.871,118.788,146.961,100.0
2026-06-18 00:00:00,0,117.923,105.549,132.136,100.0
2026-06-18 01:00:00,1,110.195,97.889,125.09,100.0
2026-06-18 02:00:00,2,111.67,99.603,126.313,100.0
2026-06-18 03:00:00,3,105.193,91.988,119.333,100.0
2026-06-18 04:00:00,4,105.163,93.722,116.93,100.0
2026-06-18 05:00:00,5,112.093,99.069,124.431,100.0
2026-06-18 06:00:00,6,107.175,94.488,120.495,100.0
2026-06-18 07:00:00,7,118.265,105.681,133.28,100.0
2026-06-18 08:00:00,8,108.641,93.068,127.871,100.0
2026-06-18 09:00:00,9,88.423,76.897,104.709,100.0
2026-06-18 10:00:00,10,67.461,54.677,83.525,100.0
2026-06-18 11:00:00,11,54.52,42.998,71.377,100.0
2026-06-18 12:00:00,12,40.459,29.208,55.924,100.0
2026-06-18 13:00:00,13,28.72,17.3,42.336,100.0
2026-06-18 14:00:00,14,21.909,10.193,34.41,100.0
2026-06-18 15:00:00,15,9.158,-1.371,19.577,100.0
2026-06-18 16:00:00,16,-0.148,-5.0,12.479,100.0
2026-06-18 17:00:00,17,-5.0,-5.0,5.921,100.0
2026-06-18 18:00:00,18,-1.903,-5.0,12.024,100.0
2026-06-18 19:00:00,19,29.923,16.315,41.821,100.0
2026-06-18 20:00:00,20,122.191,109.435,132.298,100.0
2026-06-18 21:00:00,21,145.503,132.728,155.857,100.0
2026-06-18 22:00:00,22,150.262,139.224,160.352,100.0
2026-06-18 23:00:00,23,132.355,119.272,147.446,100.0
2026-06-19 00:00:00,0,118.803,106.428,133.015,100.0
2026-06-19 01:00:00,1,111.628,99.322,126.523,100.0
2026-06-19 02:00:00,2,112.866,100.799,127.509,100.0
2026-06-19 03:00:00,3,105.795,92.591,119.935,100.0
2026-06-19 04:00:00,4,104.568,93.127,116.335,100.0
2026-06-19 05:00:00,5,111.604,98.58,123.942,100.0
2026-06-19 06:00:00,6,107.726,95.039,121.045,100.0
2026-06-19 07:00:00,7,118.23,105.645,133.245,100.0
2026-06-19 08:00:00,8,108.893,93.32,128.123,100.0
2026-06-19 09:00:00,9,88.821,77.295,105.107,100.0
2026-06-19 10:00:00,10,67.438,54.655,83.502,100.0
2026-06-19 11:00:00,11,53.553,42.032,70.411,100.0
2026-06-19 12:00:00,12,42.218,30.967,57.683,100.0
2026-06-19 13:00:00,13,30.357,18.937,43.973,100.0
2026-06-19 14:00:00,14,22.803,11.087,35.304,100.0
2026-06-19 15:00:00,15,9.6,-0.929,20.019,100.0
2026-06-19 16:00:00,16,0.524,-5.0,13.151,100.0
2026-06-19 17:00:00,17,-5.0,-5.0,0.1,100.0
2026-06-19 18:00:00,18,-5.0,-5.0,6.323,100.0
2026-06-19 19:00:00,19,25.354,11.746,37.252,100.0
2026-06-19 20:00:00,20,120.983,108.226,131.09,100.0
2026-06-19 21:00:00,21,146.524,133.749,156.878,100.0
2026-06-19 22:00:00,22,152.02,140.982,162.11,100.0
2026-06-19 23:00:00,23,133.484,120.401,148.574,100.0
2026-06-20 00:00:00,0,120.79,108.415,135.002,100.0
2026-06-20 01:00:00,1,112.096,99.791,126.991,100.0
2026-06-20 02:00:00,2,114.435,102.368,129.078,100.0
2026-06-20 03:00:00,3,107.601,94.397,121.742,100.0
2026-06-20 04:00:00,4,105.97,94.529,117.737,100.0
2026-06-20 05:00:00,5,113.186,100.162,125.524,100.0
2026-06-20 06:00:00,6,109.106,96.419,122.425,100.0
2026-06-20 07:00:00,7,119.794,107.21,134.809,100.0
2026-06-20 08:00:00,8,109.73,94.157,128.96,100.0
2026-06-20 09:00:00,9,89.688,78.162,105.974,100.0
2026-06-20 10:00:00,10,68.544,55.76,84.608,100.0
2026-06-20 11:00:00,11,53.428,41.907,70.286,100.0
2026-06-20 12:00:00,12,42.579,31.328,58.044,100.0
2026-06-20 13:00:00,13,30.241,18.821,43.857,100.0
2026-06-20 14:00:00,14,22.676,10.959,35.177,100.0
2026-06-20 15:00:00,15,9.168,-1.361,19.587,100.0
2026-06-20 16:00:00,16,-0.869,-5.0,11.758,100.0
2026-06-20 17:00:00,17,-5.0,-5.0,-0.614,100.0
2026-06-20 18:00:00,18,-5.0,-5.0,4.153,100.0
2026-06-20 19:00:00,19,19.09,5.482,30.988,100.0
2026-06-20 20:00:00,20,120.052,107.295,130.159,100.0
2026-06-20 21:00:00,21,147.935,135.16,158.289,100.0
2026-06-20 22:00:00,22,153.46,142.422,163.551,100.0
