"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"03/24/2026,""100.10"",""100.10"",""100.10"",""100.10"","""",""-0.64%"""
"03/23/2026,""100.74"",""100.74"",""100.74"",""100.74"","""",""0.22%"""
"03/20/2026,""100.52"",""100.52"",""100.52"",""100.52"","""",""-1.83%"""
"03/19/2026,""102.39"",""102.39"",""102.39"",""102.39"","""",""2.96%"""
"03/18/2026,""99.45"",""99.45"",""99.45"",""99.45"","""",""-0.92%"""
"03/17/2026,""100.37"",""100.37"",""100.37"",""100.37"","""",""0.20%"""
"03/16/2026,""100.17"",""100.17"",""100.17"",""100.17"","""",""1.10%"""
"03/13/2026,""99.08"",""99.08"",""99.08"",""99.08"","""",""0.28%"""
"03/12/2026,""98.80"",""98.80"",""98.80"",""98.80"","""",""2.25%"""
"03/11/2026,""96.63"",""96.63"",""96.63"",""96.63"","""",""2.33%"""
"03/10/2026,""94.43"",""94.43"",""94.43"",""94.43"","""",""-1.05%"""
"03/09/2026,""95.43"",""95.43"",""95.43"",""95.43"","""",""0.90%"""
"03/06/2026,""94.58"",""94.58"",""94.58"",""94.58"","""",""0.84%"""
"03/05/2026,""93.79"",""93.79"",""93.79"",""93.79"","""",""-1.53%"""
"03/04/2026,""95.25"",""95.25"",""95.25"",""95.25"","""",""-5.29%"""
"03/03/2026,""100.57"",""100.57"",""100.57"",""100.57"","""",""11.45%"""
"03/02/2026,""90.24"",""90.24"",""90.24"",""90.24"","""",""-6.56%"""
"02/27/2026,""96.58"",""96.58"",""96.58"",""96.58"","""",""-0.41%"""
"02/26/2026,""96.98"",""96.98"",""96.98"",""96.98"","""",""-0.79%"""
"02/25/2026,""97.75"",""97.75"",""97.75"",""97.75"","""",""0.10%"""
"02/24/2026,""97.65"",""97.65"",""97.65"",""97.65"","""",""0.59%"""
"02/23/2026,""97.08"",""97.08"",""97.08"",""97.08"","""",""0.61%"""
"02/20/2026,""96.49"",""96.49"",""96.49"",""96.49"","""",""-0.26%"""
"02/19/2026,""96.74"",""96.74"",""96.74"",""96.74"","""",""0.48%"""
"02/18/2026,""96.28"",""96.28"",""96.28"",""96.28"","""",""0.36%"""
"02/17/2026,""95.93"",""95.93"",""95.93"",""95.93"","""",""-5.23%"""
"02/13/2026,""101.22"",""101.22"",""101.22"",""101.22"","""",""-2.83%"""
"02/12/2026,""104.17"",""104.17"",""104.17"",""104.17"","""",""1.78%"""
"02/11/2026,""102.35"",""102.35"",""102.35"",""102.35"","""",""-1.40%"""
"02/10/2026,""103.80"",""103.80"",""103.80"",""103.80"","""",""-0.13%"""
"02/09/2026,""103.94"",""103.94"",""103.94"",""103.94"","""",""-3.89%"""
"02/06/2026,""108.15"",""108.15"",""108.15"",""108.15"","""",""1.08%"""
"02/05/2026,""106.99"",""106.99"",""106.99"",""106.99"","""",""-0.83%"""
"02/04/2026,""107.89"",""107.89"",""107.89"",""107.89"","""",""0.84%"""
"02/03/2026,""106.99"",""106.99"",""106.99"",""106.99"","""",""-3.26%"""
"02/02/2026,""110.60"",""110.60"",""110.60"",""110.60"","""",""0.46%"""
"01/30/2026,""110.09"",""110.09"",""110.09"",""110.09"","""",""0.17%"""
"01/29/2026,""109.90"",""109.90"",""109.90"",""109.90"","""",""0.05%"""
"01/28/2026,""109.84"",""109.84"",""109.84"",""109.84"","""",""-0.19%"""
"01/27/2026,""110.05"",""110.05"",""110.05"",""110.05"","""",""-0.27%"""
"01/26/2026,""110.35"",""110.35"",""110.35"",""110.35"","""",""-0.69%"""
"01/23/2026,""111.12"",""111.12"",""111.12"",""111.12"","""",""-0.24%"""
"01/22/2026,""111.39"",""111.39"",""111.39"",""111.39"","""",""-1.18%"""
"01/21/2026,""112.72"",""112.72"",""112.72"",""112.72"","""",""-0.05%"""
"01/20/2026,""112.78"",""112.78"",""112.78"",""112.78"","""",""-3.55%"""
"01/16/2026,""116.93"",""116.93"",""116.93"",""116.93"","""",""1.49%"""
"01/15/2026,""115.21"",""115.21"",""115.21"",""115.21"","""",""-0.41%"""
"01/14/2026,""115.69"",""115.69"",""115.69"",""115.69"","""",""0.16%"""
"01/13/2026,""115.51"",""115.51"",""115.51"",""115.51"","""",""5.38%"""
"01/12/2026,""109.61"",""109.61"",""109.61"",""109.61"","""",""8.73%"""
"01/09/2026,""100.81"",""100.81"",""100.81"",""100.81"","""",""0.94%"""
"01/08/2026,""99.87"",""99.87"",""99.87"",""99.87"","""",""-2.38%"""
"01/07/2026,""102.30"",""102.30"",""102.30"",""102.30"","""",""4.21%"""
"01/06/2026,""98.17"",""98.17"",""98.17"",""98.17"","""",""5.01%"""
"01/05/2026,""93.49"",""93.49"",""93.49"",""93.49"","""",""-8.12%"""
"01/02/2026,""101.75"",""101.75"",""101.75"",""101.75"","""",""4.09%"""
"12/31/2025,""97.75"",""97.75"",""97.75"",""97.75"","""",""4.58%"""
"12/30/2025,""93.47"",""93.47"",""93.47"",""93.47"","""",""0.13%"""
