# Source: investing.com xlsx (German Power Futures Historical Data.xlsx) | Downloaded: 2026-05-05T08:16:55.057608
date,german_cal_futures
2017-12-05,37.12
2017-12-06,36.7
2018-01-23,30.45
2018-01-24,29.9
2018-01-25,29.32
2018-01-26,29.43
2018-01-29,29.54
2018-01-30,29.46
2018-01-31,40.65
2018-02-01,43.37
2018-02-02,42.53
2018-02-05,40.26
2018-02-06,39.47
2018-02-07,39.5
2018-02-08,38.26
2018-02-09,38.2
2018-02-12,38.11
2018-02-13,38.55
2018-02-14,38.58
2018-02-15,38.76
2018-02-16,38.85
2018-02-20,39.44
2018-02-21,40.3
2018-02-22,41.01
2018-02-23,41.24
2018-02-26,40.2
2018-02-27,40.12
2018-02-28,36.28
2018-03-01,35.98
2018-03-02,36.13
2018-03-05,34.02
2018-03-06,34.21
2018-03-07,34.07
2018-03-08,34.52
2018-03-09,35.38
2018-03-12,35.08
2018-03-13,35.24
2018-03-14,33.47
2018-03-15,33.83
2018-03-16,33.86
2018-03-19,35.03
2018-03-20,35.55
2018-03-21,36.67
2018-03-22,37.11
2018-03-23,36.97
2018-03-26,37.33
2018-03-27,37.62
2018-03-28,37.55
2018-03-29,37.52
2018-04-02,35.14
2018-04-03,33.1
2018-04-04,33.52
2018-04-05,32.91
2018-04-06,32.96
2018-04-09,32.91
2018-04-10,32.35
2018-04-11,32.23
2018-04-12,32.59
2018-04-13,33.26
2018-04-16,33.7
2018-04-17,33.73
2018-04-18,33.3
2018-04-19,32.99
2018-04-20,33.2
2018-04-23,32.76
2018-04-24,32.44
2018-04-25,32.31
2018-04-26,32.1
2018-04-27,32.26
2018-04-30,31.31
2018-05-01,30.91
2018-05-02,30.08
2018-05-03,29.64
2018-05-04,30.26
2018-05-07,30.39
2018-05-08,30.33
2018-05-09,31.35
2018-05-10,31.59
2018-05-11,31.35
2018-05-14,32.17
2018-05-15,32.37
2018-05-16,31.82
2018-05-17,31.41
2018-05-18,30.31
2018-05-21,31.41
2018-05-22,31.81
2018-05-23,32.52
2018-05-24,32.9
2018-05-25,33.19
2018-05-29,33.53
2018-05-30,33.54
2018-05-31,44.78
2018-06-01,42.02
2018-06-04,44.51
2018-06-05,44.73
2018-06-06,43.02
2018-06-07,43.15
2018-06-08,43.39
2018-06-11,44.07
2018-06-12,44.53
2018-06-13,43.81
2018-06-14,43.57
2018-06-15,44.04
2018-06-18,41.93
2018-06-19,42.58
2018-06-20,42.15
2018-06-21,42.04
2018-06-22,41.94
2018-06-25,42.21
2018-06-26,42.3
2018-06-27,42.31
2018-06-28,42.38
2018-06-29,42.42
2018-07-02,45.34
2018-07-03,44.87
2018-07-05,45.42
2018-07-06,45.11
2018-07-09,46.9
2018-07-10,47.51
2018-07-11,48.13
2018-07-12,47.65
2018-07-13,47.5
2018-07-16,48.64
2018-07-17,48.62
2018-07-18,48.93
2018-07-19,49.3
2018-07-20,48.96
2018-07-23,49.48
2018-07-24,49.52
2018-07-25,49.61
2018-07-26,49.59
2018-07-27,49.56
2018-07-30,49.54
