# Source: OMIP bulletin PDFs (FTB settlement prices) | Downloaded: 2026-04-28T14:58:41.417038
date,omip_M Apr_26,omip_M Aug_26,omip_M Jul_26,omip_M Jun_26,omip_M May_26,omip_M Oct_26,omip_M Sep_26,omip_Q1_27,omip_Q1_28,omip_Q2_27,omip_Q3_26,omip_Q3_27,omip_Q4_26,omip_Q4_27,omip_YR_27,omip_YR_28,omip_YR_29,omip_YR_30,omip_YR_31,omip_YR_32,omip_YR_33,omip_YR_34,omip_YR_35,omip_YR_36
2026-03-30,27.0,75.84,81.0,62.0,27.97,,77.13,72.64,,36.09,78.0,57.61,86.5,60.78,56.75,55.9,54.2,53.27,52.87,52.47,52.07,51.67,51.27,50.87
2026-03-31,25.5,73.54,78.7,58.0,25.85,,74.83,71.5,,35.99,75.7,57.43,85.05,60.6,56.35,55.9,54.2,53.27,52.87,52.47,52.07,51.67,51.27,50.87
2026-04-01,,74.34,79.5,54.75,24.5,82.65,75.63,70.99,70.1,35.73,76.5,57.02,82.65,60.17,55.95,55.25,54.0,53.27,52.87,52.47,52.07,51.67,51.27,50.87
2026-04-02,,75.84,81.0,52.0,25.35,83.5,77.13,72.5,70.1,36.08,78.0,57.58,83.5,60.77,56.7,55.25,54.0,53.27,52.87,52.47,52.07,51.67,51.27,50.87
2026-04-07,,77.34,82.5,56.0,31.1,84.5,78.63,73.25,70.1,36.37,79.5,58.04,84.75,61.26,57.2,55.25,54.0,53.27,52.87,52.47,52.07,51.67,51.27,50.87
2026-04-08,,74.35,76.5,52.9,30.85,84.5,75.66,71.0,68.75,35.63,75.5,56.87,80.35,60.02,55.85,53.9,53.27,53.27,52.87,52.47,52.07,51.67,51.27,50.87
2026-04-09,,77.0,77.0,54.5,31.3,85.9,77.31,72.0,69.35,36.0,77.1,59.5,81.75,58.42,56.45,54.5,53.5,53.5,53.1,52.7,52.3,51.9,51.5,51.1
2026-04-10,,76.65,76.65,54.3,31.6,84.95,76.96,71.5,69.55,35.79,76.75,59.15,80.8,58.08,56.1,54.7,53.7,53.5,53.1,52.7,52.3,51.9,51.5,51.1
2026-04-13,,78.0,78.75,56.4,33.0,86.65,79.99,72.01,70.05,36.05,78.9,59.57,82.5,58.49,56.5,55.2,54.2,53.5,53.1,52.7,52.3,51.9,51.5,51.1
2026-04-14,,76.75,77.5,55.25,31.25,85.3,78.74,70.15,69.75,36.1,77.65,59.66,81.15,58.58,56.1,54.9,53.6,53.5,53.1,52.7,52.3,51.9,51.5,51.1
2026-04-15,,75.6,76.35,54.6,30.5,84.15,77.59,69.84,69.5,35.94,76.5,59.39,80.7,58.32,55.85,54.65,53.45,53.35,53.1,52.7,52.3,51.9,51.5,51.1
2026-04-16,,75.5,76.25,55.0,31.55,84.95,77.49,71.0,69.45,36.51,76.4,60.34,81.5,59.25,56.75,54.6,53.2,52.8,52.75,52.7,52.3,51.9,51.5,51.1
2026-04-17,,73.3,74.05,53.75,34.7,83.7,75.29,70.5,69.6,36.48,74.2,60.3,80.25,59.21,56.6,54.75,53.5,53.1,52.75,52.7,52.3,51.9,51.5,51.1
2026-04-20,,72.22,74.4,54.45,37.7,84.05,74.2,70.25,69.6,36.54,73.6,60.39,80.6,59.3,56.6,54.75,53.5,53.1,52.75,52.7,52.3,51.9,51.5,51.1
2026-04-21,,75.0,74.0,54.75,38.75,85.45,74.5,69.5,67.05,36.99,74.5,61.14,82.0,60.03,56.9,54.75,53.5,53.1,52.75,52.7,52.3,51.9,51.5,51.1
2026-04-22,,75.78,74.7,55.55,38.25,85.25,74.5,70.5,67.15,37.5,75.0,59.5,81.8,59.4,56.7,54.85,53.5,53.25,52.9,52.85,52.45,52.05,51.65,51.25
2026-04-23,,75.81,77.75,57.25,39.5,85.95,74.54,70.87,66.9,37.7,76.05,59.81,82.5,59.71,57.0,54.6,53.65,53.0,52.65,52.6,52.45,52.05,51.65,51.25
2026-04-24,,77.61,79.55,59.4,41.6,86.2,76.34,70.75,67.1,37.5,77.85,59.97,82.75,59.87,57.0,54.8,53.85,53.2,52.85,52.6,52.45,52.05,51.65,51.25
2026-04-27,,78.27,80.28,60.5,44.0,86.95,78.27,70.25,67.18,37.99,78.95,60.76,83.5,60.66,57.4,54.88,53.93,53.2,52.85,52.6,52.45,52.05,51.65,51.25
