contract,horizon_days,fold,mae,rmse,mape,directional_accuracy,enet_mae,lasso_features_kept,lasso_features_total,lasso_alpha,train_size,test_size
Q3_26,7,1,7.190734147845768,10.372050434296144,10.389131672935326,46.15384615384615,7.069989639078611,8,38,0.1262240761586078,113,66
Q3_26,7,2,2.476629615789172,2.60969909027284,3.7134617621622734,43.07692307692308,2.4911114176871783,7,38,0.2062567919480284,179,66
Q3_26,7,3,4.195254547517475,4.972804254471808,6.789305282242816,23.07692307692308,4.073131238770752,0,38,1.216584718880468,245,66
Q3_26,7,4,5.779686897367942,6.7250739181906605,8.174549020085568,47.69230769230769,5.414175463555969,8,38,0.4497884036607435,311,66
Q3_26,30,1,3.079520141657852,3.76605282907013,4.431177243571594,40.0,2.399094379042644,24,38,0.0023629611281395,113,66
Q3_26,30,2,3.555528661511481,3.8264191873750377,5.319838332239248,53.84615384615385,3.584889838009449,24,38,0.0017809388720795,179,66
Q3_26,30,3,4.2219820009335285,5.002572476025938,6.8323176681223,9.230769230769232,4.073131238770752,0,38,1.0142069787137356,245,66
Q3_26,30,4,4.786468481477281,6.13423322815652,6.413618521828744,46.15384615384615,4.930339173048096,11,38,0.1203432346940667,311,66
Q4_26,7,1,4.815056714155872,4.905749054278671,6.754563550505371,46.15384615384615,4.563640715778286,12,38,0.0911045497459463,115,66
Q4_26,7,2,5.616015022195781,6.136271805585546,8.22984786970642,46.15384615384615,5.094834515123307,12,38,0.0716874274044801,181,66
Q4_26,7,3,6.002310586270408,6.954559446949119,7.470491812133472,49.23076923076923,6.585185974174046,1,38,0.725396144684523,247,66
Q4_26,30,1,1.943758069326554,2.285940673741287,2.7426304000223425,50.76923076923077,1.9833597120597004,14,38,0.0376374033237072,115,66
Q4_26,30,2,1.534087258390421,1.8004224051965136,2.206974206661408,49.23076923076923,1.5601784264029075,12,38,0.0748257092146834,181,66
Q4_26,30,3,6.551601901344799,7.593694620072658,8.121140665233277,41.53846153846154,6.515267347612927,14,38,0.0550879008325272,247,66
Q1_27,7,1,1.4075681844194872,1.979529638314189,2.290226725914031,52.23880597014925,1.37875982279481,14,38,0.0160130639499321,119,68
Q1_27,7,2,4.183282343165729,4.962818293795847,5.980437538115915,40.298507462686565,4.179415946116443,20,38,0.0093035460354399,187,68
Q1_27,30,1,3.506440861962046,3.785148186924559,5.633369459743622,59.70149253731343,3.921187303425578,18,38,0.0064182003889621,119,68
Q1_27,30,2,6.947603745607523,8.466765112759346,9.8496736267462,44.776119402985074,8.193321257433503,7,38,0.1672007285586603,187,68
Q2_27,7,1,6.10193447157665,8.337142362068908,15.438071852807408,60.0,5.4384953189368925,11,38,0.0510710423231461,122,71
Q2_27,30,1,5.158398971598477,7.1576335640926505,12.99965780375535,47.14285714285714,4.65558042659768,20,38,0.0040450337175365,122,71
YR27,7,4,8.616290219318891,10.882333405095416,13.978064406495395,22.689075630252105,8.084170127005633,6,23,0.765054603529938,591,120
YR27,7,5,8.468697446132131,9.226441279903623,14.133895908964748,5.042016806722689,8.658505748732555,14,23,0.0391470168126953,711,120
YR27,7,6,4.689097019457615,5.076033861942468,7.682370323557371,10.084033613445378,4.619617189330516,12,23,0.1669421036273728,831,120
YR27,7,7,2.8379806195843496,3.624189340761711,5.26569103073427,34.45378151260504,3.7698779083565785,5,23,0.7144800709241474,951,120
YR27,7,8,1.66454688858992,1.9232239624324776,2.9447494256661284,35.294117647058826,1.6328088546587656,16,23,0.0069541576172991,1071,120
YR27,7,9,1.6310779918766656,1.935204440008613,2.840589010962043,40.33613445378151,1.6773610727302288,8,23,0.1578470868353662,1191,120
YR27,7,10,4.00544555729152,4.355449235896741,6.717170844442793,41.17647058823529,4.189054726890062,9,23,0.1316799822110604,1311,120
YR27,7,11,2.3137345973642054,2.789926535063311,4.153391183604459,53.78151260504202,2.1966603950107597,13,23,0.0686470507080306,1431,120
YR27,30,4,7.146147079926715,9.436599949920522,11.589008255867626,19.327731092436977,7.412985840279941,7,23,0.448079362369391,591,120
YR27,30,5,9.205232634959636,9.730261811767775,15.33801667861589,7.563025210084033,9.19467796794532,11,23,0.1594024011870799,711,120
YR27,30,6,6.02945004379367,6.304785211116422,9.922259173912265,14.285714285714285,5.901923831746297,12,23,0.1683530872947393,831,120
YR27,30,7,3.643648391602917,4.518608845281634,6.698292260515879,31.93277310924369,4.26631976204161,4,23,0.7965823751208261,951,120
YR27,30,8,2.370272571209607,2.919688454427885,4.186022138551316,30.252100840336134,2.3266976774575228,14,23,0.0311825622230169,1071,120
YR27,30,9,2.0445183838244216,2.4838227172451397,3.551960831675645,34.45378151260504,2.051835587294794,13,23,0.036087292401846,1191,120
YR27,30,10,6.109843927269424,6.277124556378582,10.288932875525374,45.37815126050421,5.950309134107628,13,23,0.0854521935632356,1311,120
YR27,30,11,3.334481904522895,3.784361078436516,5.989547823079162,47.05882352941176,3.278717078078686,13,23,0.0635444212229828,1431,120
YR28,7,4,9.77271387255245,10.036956612831952,17.723100500250005,10.81081081081081,9.83386992330037,3,23,0.6874742729504559,543,112
YR28,7,5,6.82242159146879,7.0605277866121305,12.945923696966483,4.504504504504505,6.945204636577421,10,23,0.1305543514905537,655,112
YR28,7,6,5.475583658775378,6.459845050252787,9.186956671263934,15.315315315315312,5.881735260825069,6,23,0.3584796123809123,767,112
YR28,7,7,3.289966258185768,4.211577737277727,6.348974236275424,21.62162162162162,3.0874963456618616,10,23,0.2193832488249451,879,112
YR28,7,8,2.2371100098205945,2.4279950182565817,3.945830386886705,27.927927927927925,1.9948243774559984,7,23,0.3571581296909497,991,112
YR28,7,9,1.617388080139298,1.9326586817787583,2.8205289383109853,27.027027027027028,1.7428601462025597,6,23,0.1831974217965841,1103,112
YR28,7,10,4.029881070556125,4.197360488843207,6.830067597718234,29.72972972972973,4.884531739259289,14,23,0.0252778031430219,1215,112
YR28,7,11,1.6708098314823605,1.8661084455023071,3.046963406744926,48.64864864864865,1.6876361541251217,14,23,0.0235588496527591,1327,112
