contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q4_26,2026-09-14,15,147.33,135.98,132.0,139.96,Wait
Q4_26,2026-09-14,15,147.33,139.95,134.65,145.26,Wait
Q4_26,2026-09-14,15,147.33,141.66,135.03,148.29,Wait
Q1_27,2026-09-14,30,127.75,130.16,126.71,133.61,Neutral
Q1_27,2026-09-14,60,127.75,129.32,124.72,133.92,Neutral
Q1_27,2026-09-14,90,127.75,128.96,123.21,134.7,Neutral
Q2_27,2026-09-14,30,60.8,64.35,62.71,65.99,Potential Opportunity
Q2_27,2026-09-14,60,60.8,63.11,60.92,65.29,Potential Opportunity
Q2_27,2026-09-14,90,60.8,62.57,59.84,65.31,Neutral
YR27,2026-09-14,30,92.75,87.24,84.74,89.74,Wait
YR27,2026-09-14,60,92.75,89.17,85.83,92.51,Wait
YR27,2026-09-14,90,92.75,90.0,85.82,94.17,Neutral
YR28,2026-09-14,30,65.25,58.73,56.96,60.49,Wait
YR28,2026-09-14,60,65.25,60.9,58.56,63.25,Wait
YR28,2026-09-14,90,65.25,61.91,58.97,64.84,Wait
